"idcase","depvar","income","agehed","rooms","region","alt","ic","oc","chid"
10,TRUE,7,20,2,"scostl","gc",682.88,176.14,10
10,FALSE,7,20,2,"scostl","gr",1044.8,136.43,10
10,FALSE,7,20,2,"scostl","hp",878.09,217.34,10
11,FALSE,5,60,6,"mountn","ec",792.29,428.1,11
11,FALSE,5,60,6,"mountn","er",774.69,380.78,11
11,TRUE,5,60,6,"mountn","gc",858.26,159.92,11
11,FALSE,5,60,6,"mountn","gr",815.69,134.55,11
11,FALSE,5,60,6,"mountn","hp",1076,230.16,11
12,FALSE,7,25,4,"mountn","ec",944.35,568.33,12
12,FALSE,7,25,4,"mountn","er",1325,475.72,12
12,TRUE,7,25,4,"mountn","gc",1021.7,214.8,12
12,FALSE,7,25,4,"mountn","gr",1007.1,190.79,12
12,FALSE,7,25,4,"mountn","hp",1249.6,246,12
13,FALSE,5,35,3,"ncostl","ec",797.34,406.71,13
13,FALSE,5,35,3,"ncostl","er",880.8,338.03,13
13,TRUE,5,35,3,"ncostl","gc",651.83,127.4,13
13,FALSE,5,35,3,"ncostl","gr",823.59,147.48,13
13,FALSE,5,35,3,"ncostl","hp",792.92,197.94,13
14,FALSE,2,30,6,"valley","ec",687.18,365.92,14
14,FALSE,2,30,6,"valley","er",718.72,395.14,14
14,FALSE,2,30,6,"valley","gc",568.44,119.45,14
14,TRUE,2,30,6,"valley","gr",617.43,111.86,14
14,FALSE,2,30,6,"valley","hp",775.54,173.53,14
15,FALSE,3,35,2,"valley","ec",594,424.71,15
15,FALSE,3,35,2,"valley","er",736.77,322.95,15
15,TRUE,3,35,2,"valley","gc",602.51,139.54,15
15,FALSE,3,35,2,"valley","gr",815.95,122.44,15
15,FALSE,3,35,2,"valley","hp",934.23,180.51,15
16,FALSE,4,35,4,"scostl","ec",801.2,443.16,16
16,FALSE,4,35,4,"scostl","er",1092.4,380.19,16
16,FALSE,4,35,4,"scostl","gc",768.08,198.39,16
16,TRUE,4,35,4,"scostl","gr",1114.1,160.99,16
16,FALSE,4,35,4,"scostl","hp",1108.4,229.37,16
17,FALSE,6,55,2,"scostl","ec",821.79,432.58,17
17,FALSE,6,55,2,"scostl","er",969.64,446.38,17
17,FALSE,6,55,2,"scostl","gc",723.92,160.4,17
17,FALSE,6,55,2,"scostl","gr",929.7,147.08,17
17,TRUE,6,55,2,"scostl","hp",1058,209.57,17
18,FALSE,7,35,4,"scostl","ec",696.89,362.99,18
18,FALSE,7,35,4,"scostl","er",853.82,448.43,18
18,FALSE,7,35,4,"scostl","gc",630.81,147.92,18
18,FALSE,7,35,4,"scostl","gr",727.37,103.69,18
18,TRUE,7,35,4,"scostl","hp",779.94,165.22,18
19,FALSE,6,65,2,"ncostl","ec",572.3,341.16,19
19,TRUE,6,65,2,"ncostl","er",664.22,290.74,19
19,FALSE,6,65,2,"ncostl","gc",555.44,106.53,19
19,FALSE,6,65,2,"ncostl","gr",775.24,106.52,19
19,FALSE,6,65,2,"ncostl","hp",707.79,139.89,19
20,FALSE,7,50,4,"ncostl","ec",925.62,561.69,20
20,FALSE,7,50,4,"ncostl","er",1140,528.22,20
20,TRUE,7,50,4,"ncostl","gc",899.87,213.84,20
20,FALSE,7,50,4,"ncostl","gr",1214.2,186.6,20
20,FALSE,7,50,4,"ncostl","hp",1155.3,251.16,20
21,TRUE,5,40,5,"scostl","ec",788.07,440.99,21
21,FALSE,5,40,5,"scostl","er",799.52,286.29,21
21,FALSE,5,40,5,"scostl","gc",657.54,176.15,21
21,FALSE,5,40,5,"scostl","gr",892.16,148.93,21
21,FALSE,5,40,5,"scostl","hp",1083.1,203.87,21
22,FALSE,5,35,4,"scostl","ec",934.75,496.77,22
22,FALSE,5,35,4,"scostl","er",1009.5,414.79,22
22,FALSE,5,35,4,"scostl","gc",761.29,199.84,22
22,TRUE,5,35,4,"scostl","gr",1034.8,155.97,22
22,FALSE,5,35,4,"scostl","hp",1192.1,233.74,22
23,FALSE,4,20,7,"scostl","ec",619.65,417.32,23
23,FALSE,4,20,7,"scostl","er",880.97,362.24,23
23,TRUE,4,20,7,"scostl","gc",575.07,109.94,23
23,FALSE,4,20,7,"scostl","gr",865.23,130.64,23
23,FALSE,4,20,7,"scostl","hp",879.44,196.12,23
24,FALSE,5,35,3,"scostl","ec",805.29,599.15,24
24,FALSE,5,35,3,"scostl","er",806.59,389.6,24
24,FALSE,5,35,3,"scostl","gc",830.08,188.69,24
24,FALSE,5,35,3,"scostl","gr",920.85,146.41,24
24,TRUE,5,35,3,"scostl","hp",1162.8,220.51,24
25,FALSE,4,45,3,"ncostl","ec",943.05,577.2,25
25,FALSE,4,45,3,"ncostl","er",1130.5,510.66,25
25,TRUE,4,45,3,"ncostl","gc",974.55,206.99,25
25,FALSE,4,45,3,"ncostl","gr",1047.2,174.96,25
25,FALSE,4,45,3,"ncostl","hp",1196.8,217.19,25
26,FALSE,2,30,7,"scostl","ec",882.55,527.88,26
26,FALSE,2,30,7,"scostl","er",1187.9,455.8,26
26,FALSE,2,30,7,"scostl","gc",737.47,207.36,26
26,TRUE,2,30,7,"scostl","gr",1042.7,145.48,26
26,FALSE,2,30,7,"scostl","hp",1055,265.62,26
27,FALSE,4,35,7,"scostl","ec",869.65,486.99,27
27,FALSE,4,35,7,"scostl","er",942.49,427.11,27
27,TRUE,4,35,7,"scostl","gc",803.75,172.26,27
27,FALSE,4,35,7,"scostl","gr",921.48,162.25,27
27,FALSE,4,35,7,"scostl","hp",962.02,205.72,27
28,TRUE,6,60,4,"scostl","ec",991.82,584.83,28
28,FALSE,6,60,4,"scostl","er",913.32,473.1,28
28,FALSE,6,60,4,"scostl","gc",872.17,185.3,28
28,FALSE,6,60,4,"scostl","gr",927.82,182.66,28
28,FALSE,6,60,4,"scostl","hp",1117.6,238.28,28
29,TRUE,4,25,3,"ncostl","ec",724.01,443.82,29
29,FALSE,4,25,3,"ncostl","er",993.25,440.21,29
29,FALSE,4,25,3,"ncostl","gc",690.95,147.89,29
29,FALSE,4,25,3,"ncostl","gr",587.58,135.81,29
29,FALSE,4,25,3,"ncostl","hp",981.73,191.44,29
30,FALSE,7,55,7,"ncostl","ec",805.08,540.32,30
30,FALSE,7,55,7,"ncostl","er",941.41,436.33,30
30,TRUE,7,55,7,"ncostl","gc",720.41,174.76,30
30,FALSE,7,55,7,"ncostl","gr",969.83,164.62,30
30,FALSE,7,55,7,"ncostl","hp",1159.4,212.74,30
31,FALSE,4,50,2,"scostl","ec",838.01,519.27,31
31,FALSE,4,50,2,"scostl","er",1144.4,496.69,31
31,TRUE,4,50,2,"scostl","gc",677.05,197.23,31
31,FALSE,4,50,2,"scostl","gr",918.54,156.81,31
31,FALSE,4,50,2,"scostl","hp",988.94,239.64,31
32,FALSE,5,45,7,"ncostl","ec",671.78,422.32,32
32,FALSE,5,45,7,"ncostl","er",976.01,412.46,32
32,FALSE,5,45,7,"ncostl","gc",665.07,150.21,32
32,TRUE,5,45,7,"ncostl","gr",876.29,146.17,32
32,FALSE,5,45,7,"ncostl","hp",723.81,214.03,32
33,FALSE,3,65,4,"mountn","ec",1030.3,600.58,33
33,FALSE,3,65,4,"mountn","er",1153.2,550.22,33
33,FALSE,3,65,4,"mountn","gc",974.53,186.48,33
33,TRUE,3,65,4,"mountn","gr",1264.3,194.23,33
33,FALSE,3,65,4,"mountn","hp",1271.9,248.47,33
34,FALSE,5,60,5,"scostl","ec",785.95,535.48,34
34,FALSE,5,60,5,"scostl","er",963.54,472.71,34
34,TRUE,5,60,5,"scostl","gc",714.53,201.48,34
34,FALSE,5,60,5,"scostl","gr",956.83,170.79,34
34,FALSE,5,60,5,"scostl","hp",1091.7,235.78,34
35,FALSE,6,60,4,"scostl","ec",689.1,419.6,35
35,FALSE,6,60,4,"scostl","er",876.97,365.16,35
35,TRUE,6,60,4,"scostl","gc",530.05,157.24,35
35,FALSE,6,60,4,"scostl","gr",757.67,130.44,35
35,FALSE,6,60,4,"scostl","hp",822.9,149.2,35
36,FALSE,4,35,3,"scostl","ec",918.92,472.24,36
36,FALSE,4,35,3,"scostl","er",897.8,421.59,36
36,TRUE,4,35,3,"scostl","gc",687.34,165.15,36
36,FALSE,4,35,3,"scostl","gr",776.77,151.81,36
36,FALSE,4,35,3,"scostl","hp",898.21,162.02,36
37,FALSE,7,30,5,"mountn","ec",618.3,447.7,37
37,FALSE,7,30,5,"mountn","er",819.38,342.36,37
37,FALSE,7,30,5,"mountn","gc",635.2,148.94,37
37,TRUE,7,30,5,"mountn","gr",825.44,129.25,37
37,FALSE,7,30,5,"mountn","hp",942.03,166.67,37
38,FALSE,2,60,2,"scostl","ec",891.58,493.19,38
38,FALSE,2,60,2,"scostl","er",1070.1,436.25,38
38,TRUE,2,60,2,"scostl","gc",651.67,171.33,38
38,FALSE,2,60,2,"scostl","gr",847.01,158.73,38
38,FALSE,2,60,2,"scostl","hp",1087.4,234.78,38
39,FALSE,6,45,2,"valley","ec",899,415.94,39
39,FALSE,6,45,2,"valley","er",1060.2,473.65,39
39,TRUE,6,45,2,"valley","gc",685.47,171.5,39
39,FALSE,6,45,2,"valley","gr",912.23,145.07,39
39,FALSE,6,45,2,"valley","hp",1109.5,233.63,39
40,FALSE,2,65,4,"scostl","ec",776.67,491.1,40
40,TRUE,2,65,4,"scostl","er",1054,432.58,40
40,FALSE,2,65,4,"scostl","gc",790.89,185.91,40
40,FALSE,2,65,4,"scostl","gr",1046.4,166.15,40
40,FALSE,2,65,4,"scostl","hp",1234.6,206.5,40
41,FALSE,7,50,5,"scostl","ec",788.79,527.18,41
41,FALSE,7,50,5,"scostl","er",833.05,400.46,41
41,TRUE,7,50,5,"scostl","gc",785.89,180.3,41
41,FALSE,7,50,5,"scostl","gr",1008.6,143.57,41
41,FALSE,7,50,5,"scostl","hp",752.91,247.12,41
42,FALSE,2,55,2,"mountn","ec",891.47,590.57,42
42,FALSE,2,55,2,"mountn","er",1148.3,580.73,42
42,FALSE,2,55,2,"mountn","gc",943.98,237.11,42
42,TRUE,2,55,2,"mountn","gr",1086.5,170.95,42
42,FALSE,2,55,2,"mountn","hp",1401.2,254.61,42
43,FALSE,4,45,2,"ncostl","ec",828.73,432.42,43
43,FALSE,4,45,2,"ncostl","er",938.83,399.79,43
43,TRUE,4,45,2,"ncostl","gc",579.96,152.09,43
43,FALSE,4,45,2,"ncostl","gr",834.61,149.71,43
43,FALSE,4,45,2,"ncostl","hp",1025.7,189.1,43
44,FALSE,5,30,5,"scostl","ec",874.67,434.61,44
44,FALSE,5,30,5,"scostl","er",966.34,438.07,44
44,TRUE,5,30,5,"scostl","gc",858.84,188.06,44
44,FALSE,5,30,5,"scostl","gr",937.65,159.64,44
44,FALSE,5,30,5,"scostl","hp",1138.1,230.64,44
45,FALSE,7,45,4,"valley","ec",796.43,455.08,45
45,FALSE,7,45,4,"valley","er",1054.4,409.72,45
45,TRUE,7,45,4,"valley","gc",689.48,149.06,45
45,FALSE,7,45,4,"valley","gr",961.55,156.24,45
45,FALSE,7,45,4,"valley","hp",976.77,196.88,45
46,FALSE,6,55,5,"scostl","ec",938.58,486.87,46
46,FALSE,6,55,5,"scostl","er",1098.1,466.19,46
46,TRUE,6,55,5,"scostl","gc",937.94,183.58,46
46,FALSE,6,55,5,"scostl","gr",962.07,162.36,46
46,FALSE,6,55,5,"scostl","hp",1124.5,232.35,46
47,FALSE,4,50,4,"ncostl","ec",588.55,386.33,47
47,TRUE,4,50,4,"ncostl","er",810.51,296.41,47
47,FALSE,4,50,4,"ncostl","gc",549.58,155.71,47
47,FALSE,4,50,4,"ncostl","gr",761.69,120.48,47
47,FALSE,4,50,4,"ncostl","hp",728.21,120.97,47
48,FALSE,6,35,3,"ncostl","ec",825.11,471.27,48
48,FALSE,6,35,3,"ncostl","er",1143.9,465.6,48
48,TRUE,6,35,3,"ncostl","gc",806.58,201.69,48
48,FALSE,6,35,3,"ncostl","gr",1116.2,168.69,48
48,FALSE,6,35,3,"ncostl","hp",1209.9,229.5,48
49,FALSE,7,55,3,"scostl","ec",828.27,546.9,49
49,FALSE,7,55,3,"scostl","er",929.43,485.04,49
49,TRUE,7,55,3,"scostl","gc",773.16,204.12,49
49,FALSE,7,55,3,"scostl","gr",1016.4,187.77,49
49,FALSE,7,55,3,"scostl","hp",1249.9,210.02,49
50,FALSE,5,25,2,"valley","ec",733.4,470.23,50
50,FALSE,5,25,2,"valley","er",1012.7,511.62,50
50,TRUE,5,25,2,"valley","gc",814.5,189.52,50
50,FALSE,5,25,2,"valley","gr",935.43,180.21,50
50,FALSE,5,25,2,"valley","hp",990.96,228.67,50
51,FALSE,5,20,7,"ncostl","ec",754.26,417.82,51
51,FALSE,5,20,7,"ncostl","er",994.12,431.46,51
51,TRUE,5,20,7,"ncostl","gc",785.99,151.78,51
51,FALSE,5,20,7,"ncostl","gr",940.63,155.84,51
51,FALSE,5,20,7,"ncostl","hp",943.08,212.79,51
52,FALSE,2,30,3,"scostl","ec",836.85,519.74,52
52,FALSE,2,30,3,"scostl","er",1026.5,372.3,52
52,TRUE,2,30,3,"scostl","gc",955.85,195.4,52
52,FALSE,2,30,3,"scostl","gr",944.77,163.78,52
52,FALSE,2,30,3,"scostl","hp",979.49,226.16,52
53,FALSE,6,30,6,"scostl","ec",963.76,559.93,53
53,FALSE,6,30,6,"scostl","er",1278.3,566.55,53
53,TRUE,6,30,6,"scostl","gc",879.47,203.06,53
53,FALSE,6,30,6,"scostl","gr",1208.5,189.06,53
53,FALSE,6,30,6,"scostl","hp",1188.8,253.22,53
54,FALSE,6,45,7,"mountn","ec",751.67,549.81,54
54,FALSE,6,45,7,"mountn","er",906.09,351.46,54
54,TRUE,6,45,7,"mountn","gc",793.47,163.62,54
54,FALSE,6,45,7,"mountn","gr",859.34,160.47,54
54,FALSE,6,45,7,"mountn","hp",923.25,194.17,54
55,FALSE,5,25,3,"valley","ec",1021.7,539.79,55
55,FALSE,5,25,3,"valley","er",1162.7,487.35,55
55,FALSE,5,25,3,"valley","gc",793.14,184.05,55
55,FALSE,5,25,3,"valley","gr",961,170.22,55
55,TRUE,5,25,3,"valley","hp",1203.3,249.01,55
56,FALSE,6,50,3,"mountn","ec",843.18,439.7,56
56,FALSE,6,50,3,"mountn","er",884.68,376.64,56
56,FALSE,6,50,3,"mountn","gc",708.19,142.82,56
56,TRUE,6,50,3,"mountn","gr",774.01,139.45,56
56,FALSE,6,50,3,"mountn","hp",1106.2,169.36,56
57,FALSE,6,30,6,"valley","ec",625.26,416.16,57
57,FALSE,6,30,6,"valley","er",736.03,366.49,57
57,TRUE,6,30,6,"valley","gc",620.45,166.47,57
57,FALSE,6,30,6,"valley","gr",737.17,145.17,57
57,FALSE,6,30,6,"valley","hp",1119.4,225.75,57
58,FALSE,3,25,4,"scostl","ec",970.49,594.04,58
58,FALSE,3,25,4,"scostl","er",1330.1,594.01,58
58,FALSE,3,25,4,"scostl","gc",1029.1,232.62,58
58,FALSE,3,25,4,"scostl","gr",1292,191.89,58
58,TRUE,3,25,4,"scostl","hp",1265.4,289.06,58
59,FALSE,6,35,4,"scostl","ec",727.13,395.2,59
59,FALSE,6,35,4,"scostl","er",878.61,399.87,59
59,TRUE,6,35,4,"scostl","gc",749.66,165.91,59
59,FALSE,6,35,4,"scostl","gr",869.27,145.12,59
59,FALSE,6,35,4,"scostl","hp",905.96,191.88,59
60,FALSE,6,45,4,"scostl","ec",762.51,437.1,60
60,FALSE,6,45,4,"scostl","er",996.61,482.21,60
60,TRUE,6,45,4,"scostl","gc",736.2,177.04,60
60,FALSE,6,45,4,"scostl","gr",922.14,165.5,60
60,FALSE,6,45,4,"scostl","hp",1053.5,235.23,60
61,FALSE,7,20,2,"scostl","ec",747.32,458.55,61
61,FALSE,7,20,2,"scostl","er",1130.9,340.95,61
61,TRUE,7,20,2,"scostl","gc",680.33,154.82,61
61,FALSE,7,20,2,"scostl","gr",860.08,134.91,61
61,FALSE,7,20,2,"scostl","hp",848.91,171.98,61
62,FALSE,7,25,2,"ncostl","ec",608.57,394.54,62
62,FALSE,7,25,2,"ncostl","er",810.97,407.61,62
62,TRUE,7,25,2,"ncostl","gc",667.29,157.71,62
62,FALSE,7,25,2,"ncostl","gr",587.15,138.7,62
62,FALSE,7,25,2,"ncostl","hp",935.99,187.03,62
63,FALSE,5,20,6,"ncostl","ec",937.96,555.18,63
63,FALSE,5,20,6,"ncostl","er",1100.5,426.75,63
63,TRUE,5,20,6,"ncostl","gc",882.05,177.27,63
63,FALSE,5,20,6,"ncostl","gr",1076.1,164.38,63
63,FALSE,5,20,6,"ncostl","hp",1113.6,226.88,63
64,FALSE,6,65,2,"ncostl","ec",912.46,487.84,64
64,FALSE,6,65,2,"ncostl","er",950.35,465,64
64,TRUE,6,65,2,"ncostl","gc",787.53,186.34,64
64,FALSE,6,65,2,"ncostl","gr",1038.3,165.57,64
64,FALSE,6,65,2,"ncostl","hp",1167.5,223.02,64
65,FALSE,2,35,4,"ncostl","ec",805.94,523.39,65
65,FALSE,2,35,4,"ncostl","er",1304,462.51,65
65,FALSE,2,35,4,"ncostl","gc",859.79,192.97,65
65,TRUE,2,35,4,"ncostl","gr",1148,181.05,65
65,FALSE,2,35,4,"ncostl","hp",1121.9,226.53,65
66,FALSE,2,30,5,"valley","ec",790.89,481.81,66
66,FALSE,2,30,5,"valley","er",1115.9,421.19,66
66,TRUE,2,30,5,"valley","gc",790.11,191.43,66
66,FALSE,2,30,5,"valley","gr",838.37,164.08,66
66,FALSE,2,30,5,"valley","hp",1099.3,219.55,66
67,FALSE,5,35,5,"valley","ec",743.31,408.74,67
67,FALSE,5,35,5,"valley","er",856.94,393.27,67
67,TRUE,5,35,5,"valley","gc",787.87,174.64,67
67,FALSE,5,35,5,"valley","gr",793.57,160.72,67
67,FALSE,5,35,5,"valley","hp",891.41,209.99,67
68,FALSE,2,50,7,"scostl","ec",702.5,394.83,68
68,FALSE,2,50,7,"scostl","er",752.47,276.6,68
68,TRUE,2,50,7,"scostl","gc",623.39,150.24,68
68,FALSE,2,50,7,"scostl","gr",663.42,113.03,68
68,FALSE,2,50,7,"scostl","hp",906.87,161.34,68
69,FALSE,3,35,6,"valley","ec",901.4,581.12,69
69,FALSE,3,35,6,"valley","er",1197.4,511.4,69
69,FALSE,3,35,6,"valley","gc",905.25,235.92,69
69,TRUE,3,35,6,"valley","gr",1111.1,185.77,69
69,FALSE,3,35,6,"valley","hp",1182.8,247.48,69
70,FALSE,4,60,6,"ncostl","ec",971.55,488.99,70
70,FALSE,4,60,6,"ncostl","er",1043.9,444.21,70
70,TRUE,4,60,6,"ncostl","gc",784.09,155.01,70
70,FALSE,4,60,6,"ncostl","gr",968.43,149.54,70
70,FALSE,4,60,6,"ncostl","hp",1219.9,218.31,70
71,FALSE,3,55,2,"scostl","ec",612.24,381.86,71
71,FALSE,3,55,2,"scostl","er",795.83,340.06,71
71,FALSE,3,55,2,"scostl","gc",677.8,106.55,71
71,TRUE,3,55,2,"scostl","gr",798.21,111.86,71
71,FALSE,3,55,2,"scostl","hp",911.19,168.31,71
72,FALSE,7,20,4,"valley","ec",780.07,483.15,72
72,FALSE,7,20,4,"valley","er",946.68,408.11,72
72,TRUE,7,20,4,"valley","gc",787.07,207.62,72
72,FALSE,7,20,4,"valley","gr",916.5,148.84,72
72,FALSE,7,20,4,"valley","hp",1018.7,194.6,72
73,FALSE,4,45,2,"scostl","ec",776.18,404.16,73
73,TRUE,4,45,2,"scostl","er",824.73,410.78,73
73,FALSE,4,45,2,"scostl","gc",717.42,171.83,73
73,FALSE,4,45,2,"scostl","gr",784.22,133.72,73
73,FALSE,4,45,2,"scostl","hp",797.2,198.31,73
74,FALSE,5,65,3,"ncostl","ec",804.51,436.56,74
74,FALSE,5,65,3,"ncostl","er",831.37,466.91,74
74,FALSE,5,65,3,"ncostl","gc",720.32,154.45,74
74,FALSE,5,65,3,"ncostl","gr",800.6,148.41,74
74,TRUE,5,65,3,"ncostl","hp",1000.6,233.45,74
75,FALSE,3,30,5,"ncostl","ec",683.38,366.14,75
75,TRUE,3,30,5,"ncostl","er",865.94,344.24,75
75,FALSE,3,30,5,"ncostl","gc",635.33,136.59,75
75,FALSE,3,30,5,"ncostl","gr",739,104.56,75
75,FALSE,3,30,5,"ncostl","hp",943.68,154.9,75
76,FALSE,2,60,3,"ncostl","ec",994.11,540.44,76
76,FALSE,2,60,3,"ncostl","er",1081.8,412.44,76
76,TRUE,2,60,3,"ncostl","gc",823.32,161.57,76
76,FALSE,2,60,3,"ncostl","gr",950.89,171.33,76
76,FALSE,2,60,3,"ncostl","hp",1003.9,246.85,76
77,FALSE,6,40,7,"scostl","ec",696.87,390.06,77
77,FALSE,6,40,7,"scostl","er",916.09,361,77
77,TRUE,6,40,7,"scostl","gc",803.38,144.71,77
77,FALSE,6,40,7,"scostl","gr",824.38,146.18,77
77,FALSE,6,40,7,"scostl","hp",915.55,210.77,77
78,FALSE,5,55,6,"scostl","ec",680.51,478.64,78
78,FALSE,5,55,6,"scostl","er",1191.8,365.71,78
78,TRUE,5,55,6,"scostl","gc",833.51,146.5,78
78,FALSE,5,55,6,"scostl","gr",821.15,150.42,78
78,FALSE,5,55,6,"scostl","hp",1087.2,185.03,78
79,FALSE,5,35,4,"scostl","ec",830.42,540.67,79
79,TRUE,5,35,4,"scostl","er",1059.3,350.14,79
79,FALSE,5,35,4,"scostl","gc",797.86,176.99,79
79,FALSE,5,35,4,"scostl","gr",912.69,149.46,79
79,FALSE,5,35,4,"scostl","hp",1072.3,233.35,79
80,FALSE,2,45,2,"ncostl","ec",829.45,483.75,80
80,FALSE,2,45,2,"ncostl","er",1159.6,419.31,80
80,FALSE,2,45,2,"ncostl","gc",849.92,186.08,80
80,TRUE,2,45,2,"ncostl","gr",960.28,154.22,80
80,FALSE,2,45,2,"ncostl","hp",1269.8,243.39,80
81,FALSE,4,65,3,"ncostl","ec",721.85,451.02,81
81,FALSE,4,65,3,"ncostl","er",921.97,393.07,81
81,TRUE,4,65,3,"ncostl","gc",781.19,145.09,81
81,FALSE,4,65,3,"ncostl","gr",700.08,139.21,81
81,FALSE,4,65,3,"ncostl","hp",811.22,215.63,81
82,FALSE,6,45,4,"valley","ec",602.71,432.28,82
82,FALSE,6,45,4,"valley","er",790.37,294.28,82
82,TRUE,6,45,4,"valley","gc",557.31,120.96,82
82,FALSE,6,45,4,"valley","gr",599.31,108.32,82
82,FALSE,6,45,4,"valley","hp",730.41,125.56,82
83,FALSE,2,25,6,"scostl","ec",845.69,471.2,83
83,FALSE,2,25,6,"scostl","er",866.67,429.95,83
83,TRUE,2,25,6,"scostl","gc",716.35,174.14,83
83,FALSE,2,25,6,"scostl","gr",787.85,145.18,83
83,FALSE,2,25,6,"scostl","hp",992.42,172.24,83
84,FALSE,7,25,2,"ncostl","ec",798.54,490.3,84
84,FALSE,7,25,2,"ncostl","er",948.05,474.72,84
84,FALSE,7,25,2,"ncostl","gc",836.62,194.54,84
84,FALSE,7,25,2,"ncostl","gr",843.15,160.7,84
84,TRUE,7,25,2,"ncostl","hp",1000.6,200.57,84
85,FALSE,2,55,5,"ncostl","ec",757.17,464.56,85
85,FALSE,2,55,5,"ncostl","er",903.52,424.56,85
85,FALSE,2,55,5,"ncostl","gc",710.34,137.9,85
85,TRUE,2,55,5,"ncostl","gr",740.48,141.86,85
85,FALSE,2,55,5,"ncostl","hp",804.28,175.82,85
86,FALSE,5,20,4,"scostl","ec",800.49,491.37,86
86,FALSE,5,20,4,"scostl","er",1051.1,447.05,86
86,TRUE,5,20,4,"scostl","gc",804.94,174.56,86
86,FALSE,5,20,4,"scostl","gr",867.24,152.86,86
86,FALSE,5,20,4,"scostl","hp",1160.1,246.3,86
87,FALSE,6,35,4,"ncostl","ec",890.49,442.27,87
87,FALSE,6,35,4,"ncostl","er",923.99,387.07,87
87,TRUE,6,35,4,"ncostl","gc",780.72,183.72,87
87,FALSE,6,35,4,"ncostl","gr",837.99,173.93,87
87,FALSE,6,35,4,"ncostl","hp",1123.8,253.97,87
88,FALSE,5,65,3,"scostl","ec",850.44,413.78,88
88,FALSE,5,65,3,"scostl","er",990.48,398.14,88
88,TRUE,5,65,3,"scostl","gc",659.43,143.17,88
88,FALSE,5,65,3,"scostl","gr",881.69,138.19,88
88,FALSE,5,65,3,"scostl","hp",1073.6,214.69,88
89,FALSE,6,20,2,"ncostl","ec",834.43,420.26,89
89,FALSE,6,20,2,"ncostl","er",845.59,393.68,89
89,TRUE,6,20,2,"ncostl","gc",717.84,151.82,89
89,FALSE,6,20,2,"ncostl","gr",888.67,152.33,89
89,FALSE,6,20,2,"ncostl","hp",908.34,195.72,89
90,FALSE,7,40,4,"scostl","ec",573.53,411.4,90
90,FALSE,7,40,4,"scostl","er",670.05,383.81,90
