id,name,amount,abstract,address,ref_number,university,year,area,survive,social_media,phone_call,No_members,No_alumni,No_professor,No_undergrad,No_postgrad,No_other,Employee,private_fund,Sciencepark
11,New System Technologies Limited,0.36,The company’s business is to provide a ‘smart contract’ solution for the traditional finance transactions.,-,TSSSU/CityU/15/02,City,2015,Information and Communication Technologies,1,1,0,4,0,0,0,0,4,,0,0
12,Teorema Limited,0.357948,"Teorma is fintech company that focuses on building proprietary investment technology based on complex computational and mathematical models using a combination of machine learning and statistical methods to forecast the direction of exchange traded securities in a short period of time. Teorema does not sell the technology to any clients, nor does provide any investment advice to external investors, instead the company runs its own proprietary trading operations where all the income or loss generated from trading operations is attributable to the company's equity. Teorema's proprietary trading operations are preparatory phase until maturity of proprietary trading technology is reached along with sufficient expertise and track record in the field of quantitative investment. Once Teorama establishes its firm operations growth plans were to expand the business and qualify as a licensed asset manager in offering investment management services to external investors.",-,TSSSU/CityU/15/03,City,2015,Information and Communication Technologies,1,0,0,7,0,4,0,0,3,,0,0
13,Jacky Instruments Limited,1.786986,"The ""smart thermostat"" can replace the traditional wall-mounted thermostat directly without the need to modify the fan coil unit. The ""smart thermostat"" implements a smart control algorithm that can maintain a very stable indoor temperature. The energy consumed by both the fan coil unit and the chilled water pump of the secondary chilled water circuit is also significantly reduced. The ""smart thermostat can also be controlled and monitored via cloud service and the Building Management System (BMS).","Unit 68, 9/F, Lee King Industrial Building, 12 Ng Fong Street, San Po Kong, Kowloon",TSSSU/CityU/15/04,City,2015,Electronics,1,1,0,5,1,2,0,2,0,,0,0
14,ProHub Limited,0.338958,"Provide service of software consultant, development and maintenance service. R&D of company own software based product.","Flat A/3, Mai Sik Ind Blg, Kwai Chung",TSSSU/CityU/15/05,City,2015,Information and Communication Technologies,1,0,0,3,0,0,3,0,0,,0,0
15,Air Button Technology Limited,1.170207,"Air Button Technology Limited is a technology startup focusing on IoT connecting and control technology, our core technology is Air Button which is a wireless control method without using battery.
 
 By unitizing this technology, out first product, Air Button, is a customizable shortcut wireless button without using battery. Powered with our app, you can set any functions or combine them as you want to create your own shortcut button by sticking Air Button on your phone's back to let you launch your actions in simple one click.
 
 Our second product is Button Pouch, which is the world's first Smart Waterproof Pouch ever. It allows smartphone possible to be controlled in underwater, it could be used for taking snapshot, doing selfie, video recording and emergency help in max 50 meters depth so that user do not need to buy an expensive GoPro for summer beach time but leave it untouched throughout the rest of the year. 
 
 Air Button was funded in Kickstarter in 2015 and got the ""Best 100"" in Japan Good Design Award in same year. Button Pouch is launched in August, 2017 and already sold out the current inventory and would like to expand the sales channel.","Rm 5, F1at 02, 16/F, Wah Sing Industrial Bui1ding, 12-14 Wah Sing Street, Kwai Chung, N.T.",TSSSU/CityU/15/06,City,2015,Electronics,0,0,0,2,1,0,0,0,1,,0,0
16,BeVoid Limited,0.2496,A e-commerce marketplace platform which mainly focus on Hong Kong local small brand. We provide payment and marketing tools for them to manage business.,"Room 10, Level 5, Cyberport 3 Core F, 100 Cyberport Road, Hong Kong",TSSSU/CityU/15/07,City,2015,Information and Communication Technologies,1,1,0,4,4,0,0,0,0,,0,0
17,Hands Life Science Limited,2.426666,"Hands Life Science preforms research and commercialization of Health & Beauty technologies. Core technologies include ""Topical Slimming Algae Extract"", ""High Efficacy Facial Treatment Formulation"" and ""Algae-Derived Omega-3 Fatty Acids"".
 
 Fueled by in-house research outcomes generated in our laboratory, we have developed a consumer brand ""Factiv"" in mid 2018 to commercialize the products.","Unit 501, 5/F, Biotech Centre 1 (9W), No. 9 Science Park West Avenue, Hong Kong Science Park, Shatin, N. T.",TSSSU/CityU/16/01,City,2016,Biotechnology,1,1,0,7,4,1,1,0,1,7,0,1
18,MindLayer Limited,1.325,"We focus on cantonese chatbot development. We mainly provide two products, one is our AlaaS (a AI-as-a-Service) platform, MindLayer.io. It is a platform to help business to create their very own Artificial Intelligent (AI) or Siri-like applications without prior knowledge in machine learning, natural language processing, etc. ln the same time, we also provide tailor-made chatbot solution for different business.","6/F, Properous Commercial Bldg, 54-58 Jardine's Bazaar, Causeway Bay, Hong Kong",TSSSU/CityU/16/02,City,2016,Information and Communication Technologies,0,1,1,3,3,0,0,0,0,6,1,0
19,V and R Laboratory Limited,0.89,"V&R Laboratory Limited focuses on providing virtual reality enabled solutions for professional users in the industrial domain of education, training, psychotherapy, data engineering, simulation and creative art. The solutions provided by V&R Laboratory Limited include virtual reality content design and production, software environment and hardware environment setup, manuals and documentations, on-site demonstration and training, etc. and are customised for perfectly meeting the needs of our customers. We also provide consultant services to customers who are interested in adopting virtual reality technologies in their businesses.","3/F, Double Set Commercial Building, 37A-B Jordan Road, Kowloon, Hong Kong",TSSSU/CityU/16/03,City,2016,Information and Communication Technologies,0,1,0,1,0,0,0,1,0,,0,0
20,B-Route Limited,0.233,"We are B-route, a blockchain-based solution company in Hong Kong.
 
 Our first product, Ticket-chain, is a blockchain-based ticketing system. The platform aims to address two major ticketing problems in Hong Kong, which are fake tickets and professional reseller. We use blockchain technology to trace back the historical information of each ticket, like price, origin, numbers of transactions, so that we can know the original selling point of the ticket. We use E-ticket and our pricing strategy to minimize the problem of professional reseller. Our mission of this project is to satisfy all the people who really want to watch the concert or cannot attend the event accidentally. At the beginning, we want to position our product in the concert ticket sector because there is a pain point within this sector and we are exactly the painkiller in the ticketing sector. For our milestone, we want to develop this system to the ticketing sector in the Asian country. For instance, transportation tickets, flight tickets and sport event tickets etc. The whole sector of ticketing will be eventually our target market","Room 1306, 13/F, Seapower Centre, 73-77 Lei Muk Road, Kwai Chung. N.T., Hong Kong",TSSSU/CityU/17/01,City,2017,Other,1,0,0,4,0,0,4,0,0,,0,0
21,Initial Innovation Limited,0.374,"Initial Innovation Limited is aimed to empower the amateur social commerce shop owners to excel in the fierce competition. Our first step is to develop affordable payment system because our team believes payment to shop is like oxygen to human. 
 
 Therefore, Shopay, a portable payment system, is developed. Sellers can collect money through their website or our generated payment link from their customers. Multiple payment options, including Apple Pay, Android Pay, Alipay, WeChat Pay and Credit cards, are supported in one single URL.
 
 With our innovative mind and strong execution ability, our team brings the best applications to users. The consistent surge in the number of users is the proof of our work. With the acquired funding from TSSSU, Cyberport and ITF, it also means that our works being recognized.
 
 To further empower the social commerce retailers, we will develop online shop making platform, business analytics report and many other functions that are social commerce friendly.","Flat J, 6//F, Kinway Industrial Building, 136 - 138 Tai Lin Pai Road, Kwai Chung, NT, Hong Kong",TSSSU/CityU/17/02,City,2017,Information and Communication Technologies,1,1,0,2,2,0,0,0,0,5,0,0
22,J and K Brassiere Company Limited,1.425,"J&K Brassiere Co., Limited is a newly-established company, which is founded by two recent university graduates in Hong Kong. It focuses on creating and providing a unique body-to-bra matching service that uses artificial intelligence. First, the customer will walk into a scanning room and conduct a 3D body scanning. The body data generated will be used to conduct a computer matching with a pre-set product data. Subsequently, a list of recommended lingerie will be generated and be shown on our website.
 
 In essence, by a one-off scanning, customers are no longer required to visit retail stores' fitting room and can shop best-fit lingerie online so long as their body figure remains approximately the same. This aims to solve the wearing-the-wrong-bra-size problem that 80% of the women in the world have, as well as to cure the fitting concern for online lingerie purchase.","TusParkHK Innovation Hub, 118 Wai Yip Street, Kwun Tong, Hong Kong",TSSSU/CityU/17/03,City,2017,Other,1,0,0,2,1,0,0,0,1,,0,0
23,Scooter (Technology) Limited,0.49,"Scooter Technology was founded in 2017. Under an Urban Intermodal Passenger Transport System proposal, it aims at the mass adoption of portable electric kick scooters (e-scooters) and making urban transport faster, easier, cheaper and greener. We also develop electric pushers for wheelchairs. The project has graduated from pre-incubation by ASTRI, joined incubation by Science Park, received funding from the government， and won awards in HK International Invention and Entrepreneurship Exhibition, Qianhai Shenzhen-HK Innovative Start-Ups Competition, China Innovation & Entrepreneurship Competition, etc.
 
 Our ultra-portable e-scooter invention can be driven hands-free safely and quickly folded as a rolling backpack to be easily carried through faster vehicles without falling or swinging, and put upstairs and indoors with full availability for commute connection and short distance travel as well. Eliminating major drawbacks in existing products, it can solve the ""first and last miles"" problem, interchange connection, congestion, indirect travel, parking, etc. for 4 billion urban population, saving 80% walking time while easing traffic pollution and global warming.","Unit 210B, 2/F, Enterprise Place, Hong Kong Science Park",TSSSU/CityU/17/04,City,2017,Other,0,0,0,5,1,1,0,0,3,,0,0
24,Eafe Limited,0.14,"Established in 2017, Eafe Limited is a product company which creates and develops high-quality products which help people to live with ease. Our vision is ""Using our unlimited passion for innovation to inspire the world and create a comfortable future"". Our potential customers are those who willing to pay for quality, convenience and ease of use. Ciao is the first product of our company. It is a patent-pending feeding bottle which makes feeding on the go with ease. Ciao simplifies the process of milk preparation which makes feeding babies outside home become an easy task. Parents only need to bring Ciao instead of numerous when bringing their babies out. Baby formula can be dropped down into water effectively and prevents the powder remain in the gaps. The unique design of silicone rings in the bottle ensure the dryness of milk powder under warm water. Therefore, milk can be prepared quickly and safely everywhere just by few steps.
 
 In the next three years. we intend to focus on the development and commercialization of Ciao which could provide a steady income for the sustainability of the company.","02/F, West Wing, 822 Lai Chi Kok Road, Cheung Sha Wan, Kowloon, HK",TSSSU/CityU/18/01,City,2018,Advanced Manufacturing/Process Development,0,0,0,3,3,0,0,0,0,,0,0
25,Hong Kong ATIS Healthcare Technology Limited,0.4,"The Company mainly focuses on smart medical services of assisted reproduction, and will launch two intelligent medical products for the prediction of the clinical pregnancy rate of blastocyst and intelligent detection of abnormal gene fragments , cooperating with Chengdu SCIVF and Guangzhou Daruiart Reproductive Technology limited company.
 we assume that the outpatient rate will reach 60% in the future, that is, 9 million patients receive assisted reproductive technology. The direct target users of our company are medical institutions with a large number of gene sequencing data and image data and clinical data.","5A, Block l1 , Tak Chee Yuan, 88 Tat Chee Ave, Kowloon Tong, Hong Kong",TSSSU/CityU/18/02,City,2018,Information and Communication Technologies,1,0,0,15,3,1,0,0,11,,0,0
26,Nautilus Software Technologies Limited,0.746667,"The mission of Nautilus Software Technologies is to develop and deliver a complete solution to empower students of all abilities with Ed-tech innovations for personalized learning on a grand scale and enabling them to reach their full potential. The existing one-size-fits-all education system is plagued with equity challenges that focus only on rigid assessment and pressurized competition leading to high dropout rates and stressed-out students. Our software technologies spawn social learning networks that scale up to connect many users, thus enabling peer collaborative learning and are used widely in global events such as mathematics festivals and also at educational institutes.","9F, BLK 5, 398 Castle Peak Road, Tseun Wan, Hong Kong",TSSSU/CityU/18/03,City,2018,Information and Communication Technologies,1,0,0,4,1,1,0,2,0,,0,1
27,6J Biotechnology (Hong Kong) Limited,2.566667,"6J Biotech is a newly established drug discovery company focusing on the development of new generation anti-metastasis and antiviral drugs based on endosomal trafficking. Led by Professor Yue Jianbo from City University of Hong Kong, we have identified a number of endosomal trafficking inhibitors, including 6J-1, 6J-2, 6J-3, and 6J-4. 6J-1 or 6J-2 significantly inhibits metastasis of breast cancer, melanoma, and lung cancer in various experimental and transgenic mouse models while exhibits little toxicity in rodents. 6J-3 and 6J-4, two natural compounds isolated from herbs, potently inhibited SARS-COV-2a and MERS-COV infection of host cells.","Room 2, Unit 107-108A , 1/F , Biotech Centre 1, Hong Kong Science Park",TSSSU/CityU/18/04,City,2018,Biotechnology,1,0,0,4,1,1,0,0,2,,0,1
28,AI Motion Sports Limited,0.84,"AI MOTION SPORTS (AIMS) is a youth sports education and sports management platform powered by Artificial Intelligence (A.I.), Internet of Thing (IoT), and Motion Recognition Technology. AIMS founded from the Joint Key State Lab of City University of Hong Kong and Chinese Academy of Sciences, using advanced technology to digitalize youth sports industry and define the next-generation sports education standards. Having received investments form SOSV, Entrepreneur First and HKSTP; The core machine learning algorithm is rated as ""Top Ten Science and Innovation Projects"" of 2018 Great Bay Area Conference on Robotics and Artificial Intelligence; AIMS is awarded the ""Most Promising Technology Enterprise"" in the 21st China Hi-Tech Fair of 2019.","ROOM 1405, 135 BONHAM STRAND TRADE CENTRE, 135 BONHAM STRAND, SHEUNG WAN,HONG KONG",TSSSU/CityU/19/01,City,2019,Electronics,1,1,0,2,1,0,0,0,1,,0,1
29,AmaZinc Energy Limited,1.39,"AmaZinc aims to power the world with an absolutely safe, environmentally friendly and comfortable way. Our business is positioned to be a advanced battery provider, we designed highly safe flexible batteries for the emerging flexible and wearable electronics and open a door to a fully flexible integrated system. Our zinc based battery also seeks a position in energy storage field, which possess excellent performance, environment-friendliness, superior intrinsic safety, low cost, and long service life.","FLAT/RM 15, 17/F, TOPSAIL PLAZA, 11 ON SUM STREET, SHATIN, NT",TSSSU/CityU/19/02,City,2019,Energy,1,0,0,3,1,1,0,0,1,,0,1
30,Baomatics Limited,0.2,Baometics Ltd is Dedicated to blockchain-related information technology development business. Baometics Ltd are developing and maintaining a blockchain-based application showcase platform (ASChain). ASChain contributes to depositing personal certificates and experiences on blockchain.,"Room A, 15th f1oor, Block 2, No. 599 Xi, Sha Road, Ma'an Shan, Hong Kong",TSSSU/CityU/19/03,City,2019,Information and Communication Technologies,0,0,0,6,1,1,0,3,1,,0,0
31,Beon Ad Limited,0.35,"Beon is a two-sided marketplace that lets drivers sign-up, and make their vehicles available for marketers to advertise on. Drivers install a app that allows marketers to track exactly where their campaigns are being shown, as well as allow Beon to determine the best suited driver for each campaign based on various factors including their driving patterns.","4/F, KOHO, 73-75 Hung To Road, Kwun Tong",TSSSU/CityU/19/04,City,2019,Other,1,1,0,3,0,0,1,0,2,,0,0
32,Cellomics International Limited,1.72,"Cellomics is a leading Hong Kong-based biotech company focusing on the development and commercialization of liquid biopsy products and services for early screening and disease management of cancer. With proprietary microfluidics and nucleic acid detection technology, we offer comprehensive liquid biopsy solutions for precision oncology. Cellomics aspires to become a global leader in liquid biopsy and precision medicine, and looks forward to working with international partners to help doctors and patients in winning the war against cancer.","Unit 601, HDIH, Core Building 1E, Phase One of Hong Kong Science Park, No.1 Science Park East Avenue, Pak Shek Kok, New Territories, Hong Kong",TSSSU/CityU/19/05,City,2019,Biotechnology,1,1,0,2,2,0,0,0,0,,0,1
33,Freedrop Limited,0.35,"Freedrop, an Airbnb for Luggage Storage, delivers a handy storage service that you can conveniently drop your luggage in any nearby stores in Hong Kong, Shanghai and Taiwan.
 
 Freedrop delivers a handy storage service that you can conveniently drop your heavy luggage in any nearby shop while traveling.","Room 34, 4/F, Beverley Commercial Centre, 87-105 Chatham Road, Tsim Sha Tsui, Kowloon, Hong Kong",TSSSU/CityU/19/06,City,2019,Information and Communication Technologies,1,1,0,3,3,0,0,0,0,2,0,0
34,HYDD Technology Limited,0.2,"HYDD Technology targeted in develop and provide development kits and courses for students, teaching them underwater robot designs, coding and Artificial Intelligence.","Rm F, 17/F, Montery Plaza, Kwun Tong, Hong Kong",TSSSU/CityU/19/07,City,2019,Electronics,0,0,0,3,2,0,0,0,1,,0,0
35,PATECH LIMITED,0.89,"PATECH LIMITED is devoted to provide the customized biomedical imaging system solutions including fast multi-wavelength functional photoacoustic microscopy system, ultrasound imaging system and photoacoustic computed tomography system applied in multiple biomedical fields such as cancer diagnostics, cardiovascular diseases detection, dermatology, brain imaging, therapy monitoring etc. we engage in fabricating medical diagnostic and therapeutic apparatus, marketing and distribution. Besides, we also provide the software technology support and data post-processing service for the customers in need. Our company is a forthcoming and leading functional imaging business in the biomedical industry that will ensure that it goes all the way to provide the full-blown functional imaging system and related first-class service to a wide range of clientele all across the world.","ROOM 181, 8/F, ETON TOWER 8 HYSAN AVENUE, CAUSEWAY BAY HK",TSSSU/CityU/19/08,City,2019,Biotechnology,1,0,0,5,2,1,0,2,0,2,0,1
36,Portalyze Point of Care Limited,1.71,"At Portalyze we are passionate about providing fast, accurate, sensitive and robust diagostic devices for various diseases and bacteria strands. Our research incorporates a multidisciplinary approach from molecular biology, chemistry, biomedical and material sciences to generate game changing test kits for measuring body molecules, cancer biomarkers, health indicators and drug resistant bacteria.","Room 03, Chemical Co-Working Centre, Unit 107-8A, 1/F, BioTech Centre 1, N. 9 Science Park West Avenue, Shatin, N.T.",TSSSU/CityU/19/09,City,2019,Nanotechnology and Materials Science,1,0,1,1,1,0,0,0,0,,1,1
37,Xiaomo Biotech Limited,1.01,"Xiaomo Biotech Limited is committed to the development of cutting-edge biotechnology based on RNA interference (RNAi). Xiaomo possesses a unique technological platform known as the ‘prokaryotic siRNA’ (pro-siRNA) technology , which is world’s only bioengineering-based technology for producing pure small interfering RNAs (siRNAs). Based on pro-siRNA technology, Xiaomo aims to develop RNAi-based products and provide RNAi services for gene functional characterizations and for providing solutions for human and agricultural diseases.","M07, Unit 527, 5/F, 11W, HKSP",TSSSU/CityU/19/10,City,2019,Biotechnology,0,0,0,6,2,1,0,1,2,,0,1
38,Genie6 Technology Limited,0.8,"Genie6 Technology Limited emphasis on battery diagnostic technology for providing battery management solutions, systems and services. With energy recycling battery diagnostic technology, we aimed to provide battery management solutions, reduce battery wastage and improve system reliability in terms of energy sources. Our team will help our customers to manage their energy storage system more effectively and improve the battery user’s experience through our team professional and experience.","Unit 23, Flat A, 4/F, Yam Hop Hing Industrial Building, 40 - 44 Kwai Wing Road, Kwai Chung, N.T.",TSSSU/CityU/19/11,City,2019,Electronics,1,0,0,6,1,2,0,2,1,,0,0
39,Medi Biotech Limited,1.16,"Medi Biotech Limited is a start-up business dedicated to providing customized solutions of plant-derived antimicrobial materials for proper pet hygiene and healthcare. With patented technologies of polymer design and rational combination of plant oils, the developed polymer composites could harness features including damage-healing, self-cleaning, disinfection, antimicrobial with long-lasting performance, which could be implemented into consumer products in the market of pet hygiene and healthcare.","Room 06, Chemical Co-working Centre, Unit 107-108A, 1/F, Biotech Centre 1, Hong Kong Science Park, Shatin",TSSSU/CityU/19/12,City,2019,Nanotechnology and Materials Science,1,0,0,4,1,1,0,0,2,,0,1
40,MindAmp Limited,0.75,"MindAmp Limited targets to bring brainwave (EEG) technology into our daily life and bring new possibilities to multiple industries by developing innovative brain computer interfaces. Currently, we are developing an earphone that can monitor and improve sleep quality; and a smart education system that can improve education quality.","Unit 906, 9/F, Building 19W, No. 19 Science Park West Ave.",TSSSU/CityU/19/13,City,2019,Biotechnology,1,0,0,3,1,1,0,0,1,,0,1
41,AI Guided Limited,0.3,"Our company is a start-up focusing on commercialization of the integration of 3D LIDAR vision, audio fingerprinting and flexible micro/nano actuator to develop a device called AI guide dog in order to fulfill the need of guide dogs and white canes for the visually impaired. The device can be a wearable complement for the user to navigate around the surrounding more accurately and efficiently.","Room 310-311, Sun Ling Plaza, 30 On Kui Street, On Lok Tsuen, Fanling, NT, HK",TSSSU/CityU/20/01,City,2020,Electronics,1,0,0,4,0,1,0,3,0,,0,1
42,Alternis Medical Limited,0.3,"Alternis Medical provides a low-cost, fast, and portable medical imaging solution for diagnostics on soft tissue, ranging from tendons and muscles disorder, tumors, inflammations and more. This solution is powered by Electrical Impedance Tomography, and can be used across the body including the lungs, abdomen, neck, and limbs. Serving as an alternative first-line diagnostic, this imaging technology reduces the burden of traditional medical imaging tools such as MRI and ultrasound, which are significantly more expensive with a long wait-time. The diagnostic device designed for clinics, hospitals, and mobile medical teams as a diagnostic streamlining tool to access and categorise the existence and severity of disorders a patient might have within minutes, and at a fraction of the cost for alternative imaging tools.","Rm 19, 5/F, Block 3, Core F, Cyberport, Pok Fu Lam, Hong Kong",TSSSU/CityU/20/02,City,2020,Biotechnology,1,0,1,2,2,0,0,0,0,,1,1
43,GenEditBio Limited,0.44,"Our mission is to develop next-generation genome editing technologies and reagents for safer gene therapies for genetic diseases and cancer immunotherapy, addressing the challenges of off-target effects of the CRISPR technology. We will develop advance technologies for analyzing genome-wide off-target editing events to comprehensively evaluate benefits versus risks during any particular gene therapy context. We will further develop next-generation CRISPR reagents with precise genome targeting, broad targeting range and be compatible with a variety of therapeutics applications.","Flat a-b, 11/f, Wah Lik Industrial Centre, 459-469 Castle Peak Road, Tsuen Wan",TSSSU/CityU/20/03,City,2020,Biotechnology,0,0,0,1,0,1,0,0,0,,0,0
44,Herbsphere Biotech Limited,0.3,"AIM:Target-based anticancer drugdevelopment. Importance and great market : The estimated market for cancer drug is ~US$200 billion in 2022. The major challenge for anticancer treatment is metastasis, side-effects/toxicity and multiple drug resistance (by cancer stem cells) after treatment for a short period of time. New more target-specific anticancer drugs are needed. Business plan: 1)drugs against TBX2/TBX3 oncoproteins, which are essential for the self-renewal of cancer stem cells (CSCs);
 2)Small molecule inhibitors of heat shock proteins (HSPs);
 3)Consulting for designing target-based anticancer agents",FLAT E，BLK 2，MARBELLA，23 ON CHUN STREET，MA ON SHAN,TSSSU/CityU/20/04,City,2020,Biotechnology,1,0,0,2,0,1,0,0,1,,0,0
45,Itsci Company Limited,0.53,ITsci develops artificial intelligence technology for healthcare.,"FLOOR 7 GOFUKU TOWER NO. 62-64, WOOSUNG STREET YAU MA TEI, KOWLOON, HONG KONG",TSSSU/CityU/20/05,City,2020,Information and Communication Technologies,1,0,0,5,2,1,1,0,1,,0,0
46,Zeta Motion Limited,0.44,"Zeta Motion provides fast, accurate, affordable and secure motion caputure and 6DoF tracking. 
 We are a startup, borne out of the School of Creative Media of the City University of Hong Kong, aiming to revolutionise the entertainment industry in Hong Kong and beyond. Our proprietary technology empowers indie game makers, filmmakers, animators, artists, and many more, and democritises a technology which would otherwise be prohibitively expensive for most.","SUITE C, LEVEL 7, WORLD TRUST TOWER, 50 STANLEY STREET, CENTRAL, HONG KONG",TSSSU/CityU/20/06,City,2020,Information and Communication Technologies,1,1,0,3,2,0,0,0,1,,0,1
47,HippoTuring Technologies Company Limited,0.804954,"HippoTuring Technologies Co., Ltd. is a newly established company that aims to provide high-quality medical data visualization and analysis products, services and solutions to its customers in innovative and cost effective ways. As its name (a combination of ""Hippocrates"" and ""Turing"") suggests, our objective is to build a solid bridge between medicine and computer in order to promote the medical apparatus and instruments industry, the healthcare industry and the medical education industry by leveraging and developing a set of innovative computational technologies. We will strive to surpass our competitors in both quality and innovation. From a long-term perspective, we plan to provide three streamlines of products, services and solutions, including:
 •high quality virtual anatomy models and interactive visualization software for medical education;
 •intelligent medical data visualization and analysis software;
 •patient-specific surgical planning system for complex surgeries;","Unit 206A, 2/F, Development Center, 6W, Science Park, Shatin, N.T.",TSSSU/CUHK/14/01,CUHK,2014,Biotechnology,1,0,0,2,1,1,0,0,0,,0,0
48,Precision Instrument and Optics Limited,1.032,"Our purpose is to create new microscopy and precision instrument technologies for biomedical and scientific applications. We provides custom-developed high-end laser Scanning microscopes with unprecedented speed and precision through the implementation of a suite of patent-pending technologies including (1) multi-layer real-time imaging, (2) omnidirectional real-time imaging, as well as (3) Simultaneous Optical Stimulation and Imaging (SOSI) technique, etc. We hold the knowledge and expertise of designing and building high-end microscope systems and has developed several new imaging techniques to further enhance microscope performance and provide new functionalities that cannot be achieved by the state-of-the-art commercial microscope systems.","Units C &amp; D, l /F, Por Yen Building, 478 Castle Peak Road, Kowloön, Hong Kong",TSSSU/CUHK/14/02,CUHK,2014,Biotechnology,1,0,0,4,1,2,0,1,0,,0,0
