OBS,PRICE,NEW,SCRATCH,BIDRS,PERCENT
201,119,0,0,1,99.2
202,87,0,0,2,0
203,162.5,1,0,8,98.2
204,76.5,0,1,4,98.8
205,179.48,0,0,11,99.7
206,102.5,0,0,9,80
207,36,0,1,4,100
208,100,0,0,1,99.5
209,112.5,0,0,6,99.1
210,112.5,0,0,4,100
211,119.95,0,0,1,99.2
212,140,0,1,12,100
213,94,0,0,3,92.3
214,202.5,1,0,10,100
215,122.5,0,0,11,99.5
