id,nearc2,nearc4,nearc4a,nearc4b,educ,age,south,famed,black,smsa,wage76,wage78,wage80,kww,iq,lwage76,lwage78,lwage80
225,0,1,1,0,11,24,0,7,0,1,725,721,962,24,109,6.586171655,6.580639137,6.869014451
226,0,1,1,0,15,27,0,8,0,1,750,761,962,35,103,6.620073207,6.634633358,6.869014451
228,0,1,1,0,14,29,0,9,0,1,529,649,962,33,108,6.270988432,6.475432717,6.869014451
229,0,1,1,0,17,29,0,6,0,1,972,1138,1319,47,122,6.879355804,7.037027615,7.184629153
232,0,1,1,0,12,26,0,3,0,0,472,591,719,36,109,6.156978986,6.381816017,6.577861358
233,0,1,1,0,12,24,0,3,0,1,325,625,NA,35,102,5.783825182,6.43775165,NA
234,0,1,1,0,12,34,0,4,0,1,875,1100,1239,44,109,6.774223886,7.003065459,7.122059882
237,0,1,1,0,13,34,0,7,0,1,625,673,1026,40,100,6.43775165,6.51174533,6.933423026
239,0,1,1,0,12,26,0,8,0,1,337,415,506,29,93,5.82008293,6.02827852,6.226536669
240,0,1,1,0,16,27,0,8,0,1,481,598,778,37,115,6.17586727,6.393590754,6.656726524
241,0,1,1,0,9,29,0,9,0,1,650,750,NA,NA,NA,6.476972363,6.620073207,NA
242,0,1,1,0,16,25,0,8,0,1,383,814,844,39,NA,5.948034989,6.701960366,6.738152495
244,0,1,1,0,18,30,0,1,0,1,962,1329,1748,50,125,6.869014451,7.192182059,7.466227556
245,0,1,1,0,16,29,0,2,0,0,615,913,845,31,106,6.421622268,6.816735881,6.739336627
247,0,1,1,0,14,28,0,3,0,1,702,855,NA,43,113,6.553933404,6.751101469,NA
248,0,1,1,0,12,25,0,5,0,1,NA,NA,NA,35,NA,NA,NA,NA
249,0,1,1,0,14,31,0,4,0,1,635,635,982,41,122,6.453624999,6.453624999,6.889591308
250,0,1,1,0,12,28,0,7,0,1,200,NA,289,35,NA,5.298317367,NA,5.666426688
252,0,1,1,0,12,27,0,7,0,1,817,900,NA,43,116,6.705639095,6.802394763,NA
253,0,1,1,0,14,26,0,4,0,1,577,681,628,39,116,6.357842267,6.523562306,6.442540166
254,0,1,1,0,17,26,0,3,0,1,466,529,770,34,105,6.144185634,6.270988432,6.646390515
255,0,1,1,0,16,29,0,4,0,1,924,1016,1442,39,NA,6.828712072,6.923628628,7.273786318
256,0,1,1,0,16,31,0,3,0,1,793,1154,1405,38,112,6.675823222,7.050989447,7.247792582
257,0,1,1,0,14,28,0,3,0,1,635,693,866,32,113,6.453624999,6.541029999,6.763884909
259,0,1,1,0,12,25,0,9,0,1,570,NA,817,22,NA,6.345636361,NA,6.705639095
260,0,1,1,0,16,29,0,3,0,1,705,924,1154,37,94,6.558197803,6.828712072,7.050989447
261,0,1,1,0,14,28,0,5,0,1,635,808,962,40,103,6.453624999,6.694562059,6.869014451
263,0,1,1,0,12,30,0,4,0,1,694,855,1155,36,102,6.542471961,6.751101469,7.051855623
264,0,1,1,0,13,34,0,6,0,1,615,712,808,47,109,6.421622268,6.568077911,6.694562059
265,0,1,1,0,16,26,0,5,0,1,462,NA,NA,34,130,6.135564891,NA,NA
266,0,1,1,0,12,34,0,3,0,1,865,962,1100,45,105,6.762729507,6.869014451,7.003065459
267,0,1,1,0,18,33,0,3,0,1,737,1038,1154,46,134,6.602587892,6.945051064,7.050989447
268,0,1,1,0,12,25,0,6,0,1,1400,538,NA,39,NA,7.244227516,6.28785856,NA
270,0,1,1,0,12,31,0,9,0,1,808,721,NA,43,105,6.694562059,6.580639137,NA
272,0,1,1,0,16,26,0,6,0,1,654,923,1000,36,104,6.483107351,6.827629235,6.907755279
273,0,1,1,0,12,25,0,4,0,1,300,700,462,35,112,5.703782475,6.551080335,6.135564891
275,0,1,1,0,16,30,0,8,0,1,577,NA,NA,37,115,6.357842267,NA,NA
277,0,1,1,0,11,24,0,9,1,1,NA,800,NA,30,NA,NA,6.684611728,NA
279,0,1,1,0,16,24,0,6,0,1,265,NA,641,44,NA,5.579729826,NA,6.463029457
280,0,1,1,0,18,31,0,8,0,0,594,713,725,33,117,6.386879319,6.56948142,6.586171655
281,0,1,1,0,17,24,0,3,0,1,NA,NA,1343,32,NA,NA,NA,7.202661197
282,0,1,1,0,17,26,0,5,0,1,325,NA,NA,29,114,5.783825182,NA,NA
283,0,1,1,0,16,24,0,5,0,0,385,491,693,37,118,5.953243334,6.196444128,6.541029999
284,0,1,1,0,18,25,0,3,0,1,1000,769,1023,32,107,6.907755279,6.64509097,6.930494766
285,0,1,1,0,18,28,0,8,0,1,465,841,769,49,120,6.142037406,6.73459166,6.64509097
286,0,1,1,0,16,28,0,1,0,1,440,NA,NA,43,131,6.086774727,NA,NA
287,0,1,1,0,16,27,0,1,0,1,625,900,875,40,124,6.43775165,6.802394763,6.774223886
288,0,1,1,0,17,27,0,6,0,1,285,505,513,36,121,5.65248918,6.224558429,6.240275845
290,0,1,1,0,14,27,0,6,0,1,650,825,1063,35,110,6.476972363,6.715383386,6.968850378
291,0,1,1,0,13,25,0,6,0,1,808,938,1375,34,103,6.694562059,6.843749949,7.22620901
292,0,1,1,0,12,24,0,6,0,1,500,721,997,26,NA,6.214608098,6.580639137,6.90475077
293,0,1,1,0,16,26,0,2,0,1,831,983,1453,45,115,6.722629795,6.89060912,7.281385664
294,0,1,1,0,16,24,0,2,0,1,NA,NA,NA,28,121,NA,NA,NA
295,0,1,1,0,12,31,0,8,0,1,500,700,800,33,96,6.214608098,6.551080335,6.684611728
297,0,1,1,0,17,32,0,3,0,1,693,1302,1748,48,123,6.541029999,7.171656823,7.466227556
298,0,1,1,0,12,27,0,5,0,1,1100,NA,1300,37,101,7.003065459,NA,7.170119543
300,0,1,1,0,12,25,0,6,0,1,763,833,1150,34,98,6.637258031,6.725033642,7.047517221
302,1,1,1,0,12,27,0,8,0,1,795,1000,900,28,NA,6.678342115,6.907755279,6.802394763
304,1,1,1,0,16,25,0,8,0,1,333,328,367,31,108,5.80814249,5.793013608,5.905361848
306,1,1,1,0,18,30,0,2,0,1,409,457,568,39,138,6.013715156,6.124683391,6.342121419
307,1,1,1,0,16,27,0,4,0,1,865,1058,1298,37,121,6.762729507,6.964135612,7.168579897
308,1,1,1,0,12,31,0,6,0,1,888,1385,840,34,96,6.788971743,7.233455419,6.733401892
309,1,1,1,0,12,34,0,4,0,1,673,769,978,47,89,6.51174533,6.64509097,6.88550967
312,1,1,1,0,12,33,0,9,0,0,700,750,963,43,109,6.551080335,6.620073207,6.870053412
313,1,1,1,0,18,33,0,1,0,1,250,315,338,44,133,5.521460918,5.752572639,5.823045895
314,1,1,1,0,11,27,0,7,0,1,625,625,NA,32,84,6.43775165,6.43775165,NA
315,1,1,1,0,13,31,0,6,0,1,417,NA,NA,37,NA,6.033086222,NA,NA
316,1,1,1,0,13,28,0,6,0,1,576,NA,779,51,98,6.356107661,NA,6.658011046
317,1,1,1,0,12,26,0,5,1,1,613,625,733,27,85,6.418364936,6.43775165,6.597145702
318,1,1,1,0,12,31,0,7,0,1,700,825,1091,NA,105,6.551080335,6.715383386,6.994849986
320,1,1,1,0,12,24,0,7,0,1,450,505,619,20,93,6.109247583,6.224558429,6.428105273
322,1,1,1,0,16,28,0,4,0,1,500,793,962,38,115,6.214608098,6.675823222,6.869014451
323,1,1,1,0,12,25,0,5,0,0,514,NA,NA,36,NA,6.242223265,NA,NA
324,1,1,1,0,16,25,0,3,0,1,250,NA,NA,45,146,5.521460918,NA,NA
325,1,1,1,0,12,24,0,3,0,0,315,463,NA,32,NA,5.752572639,6.137727054,NA
326,1,1,1,0,12,29,0,6,0,1,375,542,442,32,82,5.926926026,6.295266001,6.091309882
328,1,1,1,0,16,33,0,1,0,1,NA,NA,NA,26,128,NA,NA,NA
329,1,1,1,0,14,34,0,8,1,1,NA,378,846,43,91,NA,5.934894196,6.74051936
330,1,1,1,0,15,34,0,4,0,0,457,800,600,45,120,6.124683391,6.684611728,6.396929655
331,1,1,1,0,12,27,0,9,1,1,275,NA,NA,26,NA,5.616771098,NA,NA
332,1,1,1,0,12,28,0,4,0,1,951,1139,1366,38,122,6.857514063,7.037905963,7.21964204
333,1,1,1,0,16,32,0,8,0,1,1115,1603,2003,49,NA,7.016609684,7.379632153,7.602401336
335,1,1,1,0,16,25,0,2,0,0,289,NA,1028,31,128,5.666426688,NA,6.935370446
336,1,1,1,0,16,25,0,9,0,1,500,600,1082,34,110,6.214608098,6.396929655,6.986566459
339,1,1,1,0,18,32,0,2,0,1,726,855,1058,46,114,6.587550015,6.751101469,6.964135612
340,1,1,1,0,18,29,0,2,0,1,1265,1394,1643,48,117,7.142827401,7.239932591,7.404279118
341,1,1,1,0,17,26,0,1,1,1,613,815,1031,40,109,6.418364936,6.703188113,6.938284484
344,0,1,1,0,16,32,0,8,0,1,NA,1057,1455,44,109,NA,6.963189986,7.28276118
345,0,1,1,0,12,28,0,7,0,1,545,NA,600,35,91,6.300785795,NA,6.396929655
346,0,1,1,0,13,28,0,5,0,1,278,400,NA,32,107,5.627621114,5.991464547,NA
347,0,1,1,0,12,26,0,5,0,1,NA,1000,1100,26,76,NA,6.907755279,7.003065459
348,0,1,1,0,18,34,0,2,0,1,1442,1923,2309,55,114,7.273786318,7.561641746,7.744569809
349,0,1,1,0,16,27,0,2,0,1,995,1202,1683,40,126,6.902742737,7.091742115,7.428333194
350,0,1,1,0,12,29,0,7,0,1,700,1000,1235,45,82,6.551080335,6.907755279,7.118826249
351,0,1,1,0,12,30,0,9,0,1,NA,313,341,31,93,NA,5.746203191,5.831882477
352,0,1,1,0,16,28,0,6,0,1,577,692,855,45,119,6.357842267,6.539585956,6.751101469
353,0,1,1,0,16,31,0,6,0,1,858,1027,1071,37,104,6.754604099,6.93439721,6.97634807
355,0,1,1,0,12,28,0,5,0,1,686,864,970,35,97,6.530877628,6.761572769,6.877296071
356,0,1,1,0,15,31,0,9,0,1,832,986,1040,49,115,6.723832441,6.893656355,6.946975992
357,0,1,1,0,12,27,0,1,0,1,NA,721,903,35,115,NA,6.580639137,6.805722553
358,1,1,0,1,13,33,0,5,0,1,633,938,865,45,83,6.450470422,6.843749949,6.762729507
359,1,1,0,1,12,32,0,3,0,1,689,855,1000,45,97,6.535241271,6.751101469,6.907755279
360,1,1,0,1,14,30,0,8,0,1,769,1239,1423,43,119,6.64509097,7.122059882,7.260522598
361,1,1,0,1,12,26,0,6,0,1,NA,NA,NA,34,104,NA,NA,NA
362,1,1,0,1,12,33,0,8,0,1,NA,481,NA,34,94,NA,6.17586727,NA
363,1,1,0,1,15,27,0,2,0,1,385,524,675,27,105,5.953243334,6.261491684,6.514712691
364,1,1,0,1,12,24,0,2,0,1,450,NA,530,29,NA,6.109247583,NA,6.272877007
365,1,1,0,1,12,26,0,8,0,1,NA,NA,1100,32,100,NA,NA,7.003065459
366,1,1,0,1,12,27,0,6,0,1,615,838,996,41,114,6.421622268,6.7310181,6.903747258
367,1,1,0,1,12,34,0,9,0,1,682,NA,NA,47,93,6.525029658,NA,NA
368,1,1,0,1,10,32,0,9,0,1,670,700,732,28,73,6.507277712,6.551080335,6.595780514
370,1,1,0,1,11,33,0,8,0,1,800,889,1200,48,96,6.684611728,6.790097236,7.090076836
372,1,1,1,0,14,34,0,8,0,1,505,625,723,48,NA,6.224558429,6.43775165,6.583409222
374,1,1,1,0,18,30,0,2,0,1,1026,529,NA,48,117,6.933423026,6.270988432,NA
375,1,1,1,0,15,25,0,2,0,1,769,1732,1694,30,113,6.64509097,7.457032089,7.434847875
377,1,1,1,0,10,32,0,6,0,1,290,450,686,38,106,5.669880923,6.109247583,6.530877628
378,1,1,1,0,13,28,0,9,0,1,529,577,753,37,104,6.270988432,6.357842267,6.624065228
379,1,1,1,0,16,29,0,3,0,1,1154,1648,1577,NA,NA,7.050989447,7.40731771,7.363279587
380,1,1,1,0,10,29,0,5,0,1,549,543,857,39,80,6.308098442,6.29710932,6.753437919
381,1,1,1,0,12,26,0,6,0,1,475,400,832,30,104,6.163314804,5.991464547,6.723832441
382,1,1,1,0,12,26,0,3,0,1,450,500,700,36,102,6.109247583,6.214608098,6.551080335
383,1,1,1,0,17,27,0,9,0,1,875,1331,1635,43,114,6.774223886,7.193685818,7.399398083
384,1,1,1,0,15,25,0,9,0,1,200,382,875,33,93,5.298317367,5.945420609,6.774223886
385,1,1,1,0,13,26,0,1,0,0,300,400,580,36,122,5.703782475,5.991464547,6.363028104
386,1,1,1,0,16,25,0,5,0,0,462,NA,NA,28,117,6.135564891,NA,NA
387,1,1,1,0,12,30,0,2,0,1,385,425,672,38,96,5.953243334,6.052089169,6.510258341
388,1,1,1,0,15,32,0,1,0,1,1282,1923,2500,51,95,7.156176637,7.561641746,7.824046011
390,1,1,1,0,16,25,0,3,0,1,588,630,NA,29,117,6.376726948,6.445719819,NA
391,1,1,1,0,12,27,0,1,0,1,600,778,1076,24,105,6.396929655,6.656726524,6.981005741
393,1,1,1,0,16,30,0,9,0,1,500,532,592,43,NA,6.214608098,6.276643489,6.383506635
396,1,1,1,0,12,33,0,8,1,1,440,688,750,18,94,6.086774727,6.533788838,6.620073207
397,0,1,0,1,18,26,0,1,0,1,467,579,788,43,139,6.146329258,6.361302478,6.66949809
398,0,1,0,1,17,29,0,2,0,1,929,934,1186,41,91,6.834108739,6.839476438,7.07834158
399,0,1,0,1,16,27,0,2,0,1,556,667,833,37,96,6.320768294,6.502790046,6.725033642
400,0,1,0,1,13,24,0,2,0,1,438,640,1125,32,114,6.08221891,6.461468176,7.025538315
402,0,1,0,1,12,29,0,7,1,1,600,938,1179,31,54,6.396929655,6.843749949,7.072421901
403,0,1,0,1,12,26,0,7,1,1,575,511,650,37,69,6.354370041,6.23636959,6.476972363
404,0,1,0,1,12,26,0,7,1,1,389,430,510,17,67,5.963579344,6.063785209,6.234410726
406,0,1,1,0,14,30,0,6,0,1,NA,NA,NA,41,94,NA,NA,NA
409,0,1,0,1,14,24,0,7,0,1,NA,300,NA,27,114,NA,5.703782475,NA
410,0,1,0,1,12,34,0,5,0,0,795,923,1250,37,110,6.678342115,6.827629235,7.13089883
411,0,1,0,1,18,27,0,1,0,1,471,1201,NA,41,125,6.154858094,7.090909822,NA
412,0,1,0,1,17,26,0,1,0,1,202,328,NA,38,124,5.308267697,5.793013608,NA
